age,education-num,sex,capital-gain,capital-loss,hours-per-week,wage,marital_status_num,occupation_com_House_Services,occupation_com_Other,occupation_com_Professional,occupation_com_Specialty,occupation_com_Tech/sales,workclass_com_ Government,workclass_com_ Other,workclass_com_ Private,workclass_com_ Self-employed,cap_gain_binary,cap_loss_binary,gdp_pc
39,13,1,2174,0,40,0,0,0,1,0,0,0,1,0,0,0,1,0,41524.09
50,13,1,0,0,13,0,1,0,0,1,0,0,0,0,0,1,0,0,41524.09
38,9,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,0,41524.09
53,7,1,0,0,40,0,1,1,0,0,0,0,0,0,1,0,0,0,41524.09
28,13,1,0,0,40,0,1,0,0,1,0,0,0,0,1,0,0,0,12492.097
37,14,1,0,0,40,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
49,5,1,0,0,16,0,0,0,1,0,0,0,0,0,1,0,0,0,7754.24265
52,9,1,0,0,45,1,1,0,0,1,0,0,0,0,0,1,0,0,41524.09
31,14,1,14084,0,50,1,0,0,0,1,0,0,0,0,1,0,1,0,41524.09
42,13,1,5178,0,40,1,1,0,0,1,0,0,0,0,1,0,1,0,41524.09
37,10,1,0,0,80,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
30,13,1,0,0,40,1,1,0,0,1,0,0,1,0,0,0,0,0,2147.23325
23,13,1,0,0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
32,12,1,0,0,50,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
40,11,1,0,0,40,1,1,0,0,0,1,0,0,0,1,0,0,0,12157.0215
34,4,1,0,0,45,0,1,0,0,0,1,0,0,0,1,0,0,0,13701.804500000002
25,9,1,0,0,35,0,0,0,0,0,1,0,0,0,0,1,0,0,41524.09
32,9,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
38,7,1,0,0,50,0,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
43,14,1,0,0,45,1,0,0,0,1,0,0,0,0,0,1,0,0,41524.09
