,wage
0,0.0
1,0.28
2,0.4
3,0.64
4,0.0
5,0.0
6,0.0
7,1.0
8,0.0
9,0.04
10,0.68
11,0.52
12,0.0
13,0.48
14,0.88
15,0.84
16,0.0
17,0.2
18,0.0
19,0.72
20,0.68
21,0.0
22,0.0
23,0.12
24,0.44
25,0.56
26,0.0
27,0.0
28,0.4
29,0.2
30,0.88
31,0.0
32,0.08
33,0.28
34,0.0
35,0.32
36,0.56
37,0.0
38,0.0
39,0.0
40,0.88
41,0.64
42,0.16
43,0.04
44,0.04
45,0.32
46,0.08
47,0.76
48,0.0
49,0.12
50,0.0
51,0.0
52,0.0
53,0.2
54,0.0
55,0.0
56,0.24
57,0.92
58,0.68
59,0.2
60,0.36
61,0.08
62,0.08
63,0.0
64,0.0
65,0.08
66,0.68
67,0.0
68,0.0
69,0.52
70,0.96
71,0.64
72,0.2
73,0.0
74,0.2
75,0.0
76,0.4
77,0.24
78,0.36
79,0.0
80,0.28
81,0.0
82,0.0
83,0.8
84,0.12
85,0.04
86,0.0
87,0.52
88,0.0
89,0.52
90,0.12
91,0.0
92,0.76
93,0.08
94,0.0
95,0.0
96,0.08
97,0.32
98,0.24
99,0.0
100,0.12
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.4
107,0.2
108,0.0
109,0.0
110,0.0
111,0.4
112,0.28
113,0.0
114,0.16
115,0.0
116,0.24
117,0.0
118,0.04
119,0.16
120,0.08
121,0.0
122,0.0
123,0.08
124,0.0
125,0.0
126,0.84
127,0.0
128,0.2
129,1.0
130,0.32
131,0.0
132,0.0
133,0.8
134,0.44
135,0.04
136,0.48
137,0.04
138,0.12
139,0.0
140,0.8
141,0.0
142,1.0
143,0.92
144,0.12
145,0.04
146,0.08
147,0.28
148,0.96
149,0.28
150,0.0
151,0.0
152,0.08
153,0.0
154,0.48
155,0.0
156,0.04
157,0.0
158,0.2
159,0.2
160,0.16
161,0.24
162,0.12
163,0.08
164,0.8
165,0.48
166,0.56
167,0.32
168,0.0
169,0.04
170,0.88
171,0.36
172,0.0
173,0.72
174,0.08
175,0.4
176,0.16
177,0.44
178,0.44
179,0.4
180,0.72
181,0.76
182,0.08
183,0.56
184,0.0
185,0.08
186,0.0
187,0.0
188,0.04
189,0.0
190,0.92
191,0.44
192,0.04
193,0.0
194,0.04
195,0.0
196,0.08
197,0.96
198,0.0
199,0.24
200,0.56
201,0.8
202,0.12
203,0.16
204,0.64
205,0.68
206,0.04
207,0.4
208,0.84
209,0.4
210,0.0
211,0.0
212,0.6
213,0.4
214,0.0
215,0.16
216,0.0
217,0.0
218,0.04
219,0.0
220,0.28
221,0.0
222,0.0
223,0.4
224,0.64
225,0.32
226,0.84
227,0.68
228,0.08
229,0.28
230,0.0
231,1.0
232,0.16
233,0.36
234,0.16
235,0.08
236,0.64
237,0.0
238,0.0
239,0.2
240,0.0
241,0.56
242,0.0
243,0.28
244,0.0
245,0.16
246,0.2
247,0.12
248,0.44
249,0.36
250,0.0
251,0.2
252,0.4
253,0.12
254,0.16
255,0.0
256,0.4
257,0.04
258,0.0
259,0.76
260,0.72
261,0.04
262,0.0
263,0.0
264,0.04
265,0.4
266,0.32
267,0.0
268,0.0
269,0.28
270,0.52
271,0.12
272,0.52
273,0.08
274,0.4
275,0.0
276,0.08
277,0.0
278,0.68
279,0.0
280,0.2
281,0.2
282,0.0
283,0.0
284,0.72
285,0.12
286,0.0
287,0.56
288,0.32
289,0.0
290,0.44
291,0.24
292,0.2
293,0.0
294,0.04
295,0.04
296,0.0
297,0.0
298,0.64
299,0.24
300,0.4
301,0.12
302,0.08
303,0.0
304,0.0
305,0.2
306,0.12
307,0.0
308,0.6
309,0.44
310,0.68
311,0.0
312,0.28
313,0.68
314,0.44
315,0.2
316,0.0
317,0.0
318,0.68
319,0.24
320,0.0
321,0.64
322,0.24
323,0.08
324,0.0
325,0.76
326,0.12
327,0.0
328,0.2
329,0.92
330,0.0
331,0.0
332,0.2
333,0.2
334,0.96
335,0.0
336,0.0
337,0.0
338,0.2
339,0.48
340,0.16
341,0.36
342,0.0
343,0.88
344,0.88
345,0.2
346,0.4
347,0.6
348,0.0
349,0.04
350,0.0
351,0.0
352,0.0
353,0.16
354,0.4
355,0.92
356,0.2
357,1.0
358,0.08
359,0.0
360,0.04
361,0.12
362,0.0
363,0.4
364,0.48
365,0.6
366,0.52
367,0.56
368,0.36
369,0.0
370,0.4
371,0.0
372,0.08
373,0.72
374,0.08
375,0.4
376,0.92
377,0.0
378,0.04
379,0.0
380,0.44
381,0.0
382,0.88
383,0.04
384,0.48
385,0.12
386,0.04
387,0.0
388,0.32
389,0.88
390,0.44
391,0.0
392,0.32
393,0.0
394,0.28
395,0.08
396,0.72
397,0.0
398,0.76
399,0.92
400,0.08
401,0.0
402,0.0
403,0.16
404,0.44
405,0.04
406,0.0
407,0.0
408,0.0
409,0.68
410,0.0
411,0.12
412,0.24
413,0.0
414,0.2
415,0.28
416,0.16
417,0.64
418,0.96
419,0.28
420,0.0
421,0.0
422,0.0
423,0.0
424,0.12
425,0.04
426,0.0
427,0.0
428,0.0
429,0.0
430,0.4
431,0.0
432,0.32
433,0.0
434,0.0
435,0.64
436,0.48
437,0.0
438,0.24
439,0.92
440,0.48
441,0.48
442,0.0
443,0.28
444,0.0
445,0.8
446,1.0
447,0.04
448,0.0
449,0.08
450,0.28
451,0.4
452,0.76
453,0.04
454,0.0
455,0.0
456,0.4
457,0.64
458,0.0
459,0.28
460,0.48
461,0.16
462,0.64
463,0.2
464,0.52
465,0.12
466,0.76
467,0.36
468,0.32
469,0.0
470,0.0
471,0.0
472,0.04
473,0.16
474,0.08
475,0.12
476,0.2
477,0.0
478,0.0
479,0.0
480,0.36
481,0.0
482,0.0
483,0.88
484,0.08
485,0.0
486,0.0
487,0.04
488,0.0
489,0.0
490,0.04
491,0.0
492,0.4
493,0.2
494,0.08
495,0.76
496,0.0
497,0.08
498,0.0
499,0.44
500,0.12
501,0.28
502,0.48
503,0.0
504,0.16
505,0.24
506,0.0
507,0.88
508,0.0
509,0.12
510,0.04
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.96
519,0.2
520,0.08
521,0.16
522,0.44
523,0.0
524,0.6
525,0.0
526,0.6
527,0.36
528,0.2
529,0.96
530,0.8
531,0.0
532,0.0
533,0.16
534,0.2
535,0.76
536,0.12
537,0.64
538,0.56
539,0.0
540,0.04
541,0.88
542,0.12
543,0.04
544,0.76
545,0.36
